Id	Desc	SceneClass	Force	ArrangeIndex	TargetPos1	TargetPos2	TargetPos3	TargetPos4	TargetPos5	TargetPos6	TargetPos7	TargetPos8	TargetPos9	TargetPos10	TargetPos11	MarchLineX1	MarchLineZ1	MarchLineX2	MarchLineZ2	MarchLineX3	MarchLineZ3	MarchLineX4	MarchLineZ4	SelectRadius1	SelectRadius2	SelectRadius3
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT
#MAX_ID=20;MAX_RECORD=20;TableType=Index;																										
#陷阱ID	描述	场景ID	是否攻击方1攻击方，0防守方	阵型序号	第一优先级位置	第二优先级位置	第三优先级位置	第四优先级位置	第五优先级位置	第六优先级位置	第七优先级位置	第八优先级位置	第九优先级位置	第十优先级位置	第十一优先级位置	行走路线1	行走路线1	行走路线2	行走路线2	行走路线3	行走路线3	行走路线4	行走路线4	扫描半径	扫描半径	扫描半径
#此行必须有!!客户端确定是否需要读到内存	规则为填写S则不读，否则就会读取到客户端																									
1	地图1	1	1	0	0	1	2	0	1	2	0	1	2	3	3	25	60	-1	-1	-1	-1	-1	-1	15	50	300
2	地图1	1	1	1	1	0	1	1	0	1	1	0	1	2	2	25	90	-1	-1	-1	-1	-1	-1	15	50	300
3	地图1	1	1	2	2	1	0	2	1	0	2	1	0	3	3	25	120	-1	-1	-1	-1	-1	-1	15	50	300
4	地图1	1	1	3	0	1	2	0	1	2	0	1	2	2	2	25	60	-1	-1	-1	-1	-1	-1	15	50	300
5	地图1	1	1	4	1	0	1	1	0	1	1	0	1	2	2	25	90	-1	-1	-1	-1	-1	-1	15	50	300
6	地图1	1	1	5	2	1	0	2	1	0	2	1	0	2	2	25	120	-1	-1	-1	-1	-1	-1	15	50	300
7	地图1	1	1	6	0	1	2	0	1	2	0	1	2	3	3	25	60	-1	-1	-1	-1	-1	-1	15	50	300
8	地图1	1	1	7	1	0	1	1	0	1	1	0	1	3	3	25	90	-1	-1	-1	-1	-1	-1	15	50	300
9	地图1	1	1	8	2	1	0	2	1	0	2	1	0	3	3	25	120	-1	-1	-1	-1	-1	-1	15	50	300
10	地图1	1	0	0	0	1	2	0	1	2	0	1	2	3	3	235	60	-1	-1	-1	-1	-1	-1	15	50	300
11	地图1	1	0	1	1	0	1	1	0	1	1	0	1	3	3	235	90	-1	-1	-1	-1	-1	-1	15	50	300
12	地图1	1	0	2	2	1	0	2	1	0	2	1	0	3	3	235	120	-1	-1	-1	-1	-1	-1	15	50	300
13	地图1	1	0	3	0	1	2	0	1	2	0	1	2	3	2	235	60	-1	-1	-1	-1	-1	-1	15	50	300
14	地图1	1	0	4	1	0	1	1	0	1	1	0	1	2	2	235	90	-1	-1	-1	-1	-1	-1	15	50	300
15	地图1	1	0	5	2	1	0	2	1	0	2	1	0	2	2	235	120	-1	-1	-1	-1	-1	-1	15	50	300
16	地图1	1	0	6	0	1	2	0	1	2	0	1	2	3	3	235	60	-1	-1	-1	-1	-1	-1	15	50	300
17	地图1	1	0	7	1	0	1	1	0	1	1	0	1	3	3	235	90	-1	-1	-1	-1	-1	-1	15	50	300
18	地图1	1	0	8	2	1	0	2	1	0	2	1	0	3	3	235	120	-1	-1	-1	-1	-1	-1	15	50	300
