Id	Desc	BuildingType	Name	Level	Description	Asset	Bundle	Prosperity	NeedBuilding1	NeedBuilding2	NeedBuilding3	NeedProsperity	NeedTime	NeedStone	NeedGold	NeedIron	NeedFood
INT	STRING	INT	STRING	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=99999;MAX_RECORD=1024;TableType=Hash;																	
#ID	程序不读	标记	名称	等级	描述	Asset名	Bundle名	提供繁荣度	前置建筑物Id列表1	前置建筑物Id列表2	前置建筑物Id列表3	所需繁荣度（升到当级）	所需时间(s）	所需石料	所需金币	所需铁矿	所需粮食
1		1	城堡	1	城堡的描述			100	0			0	0	0	0	0	0
2		1	城堡	2	城堡的描述			200	0			0	60	1000	1000	0	0
3		1	城堡	3	城堡的描述			300	0			0	70	1000	1000	0	0
4		1	城堡	4	城堡的描述			400	0			0	80	1000	1000	0	0
5		1	城堡	5	城堡的描述			500	0			0	90	1000	1000	0	0
6		1	城堡	6	城堡的描述			600	0			0	100	1000	1000	0	0
7		1	城堡	7	城堡的描述			700	0			0	110	1000	1000	0	0
8		1	城堡	8	城堡的描述			800	0			0	120	1000	1000	0	0
9		1	城堡	9	城堡的描述			900	0			0	130	1000	1000	0	0
10		1	城堡	10	城堡的描述			1000	0			0	140	1000	1000	0	0
11		1	城堡	11	城堡的描述			1100	0			0	150	1000	1000	0	0
12		1	城堡	12	城堡的描述			1200	0			0	160	1000	1000	0	0
13		1	城堡	13	城堡的描述			1300	0			0	170	1000	1000	0	0
14		1	城堡	14	城堡的描述			1400	0			0	180	1000	1000	0	0
15		1	城堡	15	城堡的描述			1500	0			0	190	1000	1000	0	0
16		1	城堡	16	城堡的描述			1600	0			0	200	1000	1000	0	0
17		1	城堡	17	城堡的描述			1700	0			0	210	1000	1000	0	0
18		1	城堡	18	城堡的描述			1800	0			0	220	1000	1000	0	0
19		1	城堡	19	城堡的描述			1900	0			0	230	1000	1000	0	0
20		1	城堡	20	城堡的描述			2000	0			0	240	1000	1000	0	0
21		1	城堡	21	城堡的描述			2100	0			0	250	1000	1000	0	0
22		1	城堡	22	城堡的描述			2200	0			0	260	1000	1000	0	0
23		1	城堡	23	城堡的描述			2300	0			0	270	1000	1000	0	0
24		1	城堡	24	城堡的描述			2400	0			0	280	1000	1000	0	0
25		1	城堡	25	城堡的描述			2500	0			0	290	1000	1000	0	0
26		1	城堡	26	城堡的描述			2600	0			0	300	1000	1000	0	0
27		1	城堡	27	城堡的描述			2700	0			0	310	1000	1000	0	0
28		1	城堡	28	城堡的描述			2800	0			0	320	1000	1000	0	0
29		1	城堡	29	城堡的描述			2900	0			0	330	1000	1000	0	0
30		1	城堡	30	城堡的描述			3000	0			0	340	1000	1000	0	0
101		2	城墙	1	城墙的描述			100	0			0	0	1000	1000	0	0
102		2	城墙	2	城墙的描述			200	1			0	60	1000	1000	0	0
103		2	城墙	3	城墙的描述			300	1			0	70	1000	1000	0	0
104		2	城墙	4	城墙的描述			400	1			0	80	1000	1000	0	0
105		2	城墙	5	城墙的描述			500	1			0	90	1000	1000	0	0
106		2	城墙	6	城墙的描述			600	1			0	100	1000	1000	0	0
107		2	城墙	7	城墙的描述			700	1			0	110	1000	1000	0	0
108		2	城墙	8	城墙的描述			800	1			0	120	1000	1000	0	0
109		2	城墙	9	城墙的描述			900	1			0	130	1000	1000	0	0
110		2	城墙	10	城墙的描述			1000	1			0	140	1000	1000	0	0
111		2	城墙	11	城墙的描述			1100	1			0	150	1000	1000	0	0
112		2	城墙	12	城墙的描述			1200	1			0	160	1000	1000	0	0
113		2	城墙	13	城墙的描述			1300	1			0	170	1000	1000	0	0
114		2	城墙	14	城墙的描述			1400	1			0	180	1000	1000	0	0
115		2	城墙	15	城墙的描述			1500	1			0	190	1000	1000	0	0
