Id	Desc	CDTime
INT	STRING	INT
#MAX_ID=100000;MAX_RECORD=100000;TableType=Index;		
#ID 冷却ID	描述（程序不读）	冷却持续时间（单位:毫秒）
#此行必须有!!客户端确定是否需要读到内存	规则为填写S则不读，否则就会读取到客户端	
0	怪物攻击冷却时间	1200
1	普攻	200
2	温弩-巨魄擎天	20000
3	冷胭-两仪生风	20000
4	钟眉-摄剑法	15000
5	剑贫-飞仙境界	60000
6	断浪-火麟蚀日	20000
7	剑轮回-冰冻-降低移动速度	15000
8	剑轮回-火焚-持续掉血	15000
9	剑轮回-水逝-持续掉蓝	15000
10	剑轮回-地缚-降低攻击力	15000
11	天下第一楼BOSS-泰山压顶	20000
12	连城寨-公cd	1000
13	关七幻影-幻武影武	30000
14	关七-练斩纵河	8000
15	关七-怒斩千关	10000
16	冷不防-心魔无形	1200000
17	冷不防-噬心魔甲	0
18	释武尊-佛抱怀容	5000
19	释武尊-迎佛西天	25000
20	雪暗天-骷髅幻影	20000
21	雪暗天-锋边竹笠	20000
22	天下第一楼BOSS-泰山压顶	20000
23	世界BOSS技能1-生死符	40000
24	世界BOSS技能2-八荒六合唯我独尊	20000
25	飞云入魔	1000
26	排云掌	5500
27	霍家剑法	7000
28	莫名剑法	12000
29	圣灵剑法	8000
30	云十剑	18000
31	摩柯无量	25000
32	侠王府小怪-属下-回血	15000
33	侠王府BOSS1-武师-铜墙铁壁	20000
34	侠王府BOSS2-吕廉-猛虎下山	20000
35	侠王府BOSS3-吕义1-侠王剑法	20000
36	侠王府BOSS3-吕义2-门主威严	0
37	侠王府BOSS4-侠王真身1-守卫召唤	20000
38	侠王府BOSS4-侠王真身2-阴寒补气	35000
39	侠王府BOSS4-侠王真身3-寒霜刺骨	35000
40	技能公共CD	1000
41	普攻	200
42	重击1	10000
43	噬血	20000
44	破防	20000
45	驱逐1	20000
46	破军	20000
47	冻结	20000
48	迷幻	10000
49	咆哮高等级	20000
50	狂野	20000
51	狂野高等级	15000
52	沉默	20000
53	虚弱	20000
54	震怒	20000
55	狂野1级	25000
56	血瀑	500
57	疗伤	20000
58	迟缓	15000
59	迟缓等级	15000
60	护盾	10000
61	护盾高等级	10000
62	精准	10000
63	精准高级	10000
64	迅影	10000
65	神御	20000
66	血爆	20000
67	血祭	20000
68	借力	15000
69	借力高级	15000
70	御敌	15000
71	御敌高级	15000
72	急救	10000
73	急救高级	10000
74	新狂野	18000
75	神风入魔	1000
76	风神腿	5500
77	傲寒六诀	7000
78	冰心诀	12000
79	急转步	18000
80	神风动	5000
81	创刀五式	25000
82	断情普攻1	200
83	断情入魔	1000
84	断情七绝	5500
85	惊情十变	7000
86	虚空刀气	12000
87	七式刀意	18000
88	邪王十劫	8000
89	无相破元	25000
90	梦舞普攻1	200
91	梦舞入魔	1000
92	断脉剑法	5500
93	蚀日剑法	7000
94	剑挪移	8000
95	两极剑法	12000
96	摘叶剑法	45000
97	弹剑江湖	20000
98	师门技能1	100
