Id	Desc	CopySceneID	DataID_1	DataID_2	PosX	PosZ	FaceDirection	Difficulty1	Difficulty2	Difficulty3	Difficulty4	DifficultyTeam1	DifficultyTeam2	DifficultyTeam3	DifficultyTeam4	Wave	MissionID	Tier
INT	STRING	INT	INT	INT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=4999;MAX_RECORD=5000;TableType=Hash;																		
#唯一标示	描述，策划维护，此列程序不读	所属副本场景	DataID1	DataID2	位置X	位置Z	Npc朝向(弧度数值)	单人难度1(是否显示)	单人难度2(是否显示)	单人难度3(是否显示)	单人难度4(是否显示)	组队难度1(是否显示)	组队难度2(是否显示)	组队难度3(是否显示)	组队难度4(是否显示)	波次(由脚本控制)	任务相关(无关填-1)	层数
#此行必须有!!客户端确定是否需要读到内存	规则为填写S则不读，否则就会读取到客户端																	
0	侠王府副本-单人-简单-家丁	7	317	317	30.67	14.01	-1.57	1	0	0	0	0	0	0	0	1	-1	0
1	侠王府副本-单人-简单-家丁	7	317	317	33.1	13.93	-1.57	1	0	0	0	0	0	0	0	1	-1	0
2	侠王府副本-单人-简单-家丁	7	317	317	30.81	19.1	-1.57	1	0	0	0	0	0	0	0	1	-1	0
3	侠王府副本-单人-简单-家丁	7	317	317	32.84	19.12	-1.57	1	0	0	0	0	0	0	0	1	-1	0
4	侠王府副本-单人-简单-家丁	7	317	317	30.81	24.89	-1.57	1	0	0	0	0	0	0	0	1	-1	0
5	侠王府副本-单人-简单-家丁	7	317	317	32.99	24.92	-1.57	1	0	0	0	0	0	0	0	1	-1	0
6	侠王府副本-单人-简单-家丁	7	317	317	30.77	33.2	-1.57	1	0	0	0	0	0	0	0	1	-1	0
7	侠王府副本-单人-简单-家丁	7	317	317	32.97	33.2	-1.57	1	0	0	0	0	0	0	0	1	-1	0
8	侠王府副本-单人-简单-家丁	7	317	317	30.74	37.98	-1.57	1	0	0	0	0	0	0	0	2	-1	0
9	侠王府副本-单人-简单-家丁	7	317	317	32.94	37.94	-1.57	1	0	0	0	0	0	0	0	2	-1	0
10	侠王府副本-单人-简单-家丁	7	317	317	30.73	42.25	-1.57	1	0	0	0	0	0	0	0	2	-1	0
11	侠王府副本-单人-简单-家丁	7	317	317	32.93	42.21	-1.57	1	0	0	0	0	0	0	0	2	-1	0
12	侠王府副本-单人-简单-护院	7	320	320	30.67	57.71	-1.57	1	0	0	0	0	0	0	0	2	-1	0
