Id	Desc	level	Number	ExistTime	FiveStarDieCountStrDicID	FiveStarTimeStrDicID	StartTime	EndTime
INT	STRING	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=1024;MAX_RECORD=1025;TableType=Index;								
#ID	描述(程序不读)	参与等级	每天剩余次数	副本存在时间(单位:秒)	5星条件死亡次数字典号ID	5星条件副本时间字典号ID	开始时间	结束时间
#此行必须有!!客户端确定是否需要读到内存	规则为填写S则不读，否则就会读取到客户端							
0	连城寨单人简单规则	30	2	900	6297	8037	-1	-1
1	连城寨单人困难规则	55	2	900	6297	8038	-1	-1
2	连城寨单人挑战规则	80	2	900	6297	8039	-1	-1
3	连城寨组队简单规则	30	2	900	6297	8037	-1	-1
4	连城寨组队困难规则	55	2	900	6297	8038	-1	-1
5	连城寨组队挑战规则	80	2	900	6297	8040	-1	-1
6	侠王府单人简单规则	25	2	900	6297	8037	-1	-1
7	侠王府单人困难规则	50	2	900	6297	8038	-1	-1
8	侠王府单人挑战规则	70	2	900	6297	8041	-1	-1
9	侠王府组队简单规则	25	2	900	6297	8037	-1	-1
10	侠王府组队困难规则	50	2	900	6297	8038	-1	-1
11	侠王府组队挑战规则	70	2	900	6297	8040	-1	-1
12	无神绝宫单人简单规则	25	1	900	6297	8038	-1	-1
13	无神绝宫单人困难规则	40	1	1500	6297	8038	-1	-1
14	无神绝宫单人挑战规则	60	1	2100	6297	8041	-1	-1
15	无神绝宫组队简单规则	25	1	900	6297	8038	-1	-1
16	无神绝宫组队困难规则	40	1	1500	6297	8038	-1	-1
17	无神绝宫组队挑战规则	60	1	2100	6297	8038	-1	-1
18	剑池单人简单规则	30	2	600	6297	8037	-1	-1
19	剑池单人困难规则	50	2	600	6297	8038	-1	-1
20	剑池单人挑战规则	70	2	600	6297	8042	-1	-1
21	剑池组队简单规则	30	2	600	6297	8037	-1	-1
22	剑池组队困难规则	50	2	600	6297	8038	-1	-1
23	剑池组队挑战规则	70	2	600	6297	8043	-1	-1
24	天下第一楼	25	5	300	-1	-1	-1	-1
25	凌云窟-普通	70	2	900	6297	8044	-1	-1
26	凌云窟-困难	80	2	900	6297	8041	-1	-1
27	凌云窟-挑战	90	2	900	6297	8038	-1	-1
28	剑宗轮回	40	2	360	6297	8045	-1	-1
29	剑宗轮回	60	2	360	6297	8046	-1	-1
30	剑宗轮回	80	2	360	6297	8047	-1	-1
31	剑界虚空（普）	50	-1	960	6297	8038	-1	-1
32	剑界虚空（精英）	50	-1	960	6297	8041	-1	-1
33	低级-简单-武林宝藏	30	-1	360	6297	8045	-1	-1
34	低级-困难-武林宝藏	55	-1	360	6297	8046	-1	-1
35	低级-挑战-武林宝藏	80	-1	360	6297	8047	-1	-1
36	中级-简单-武林宝藏	30	-1	360	6297	8045	-1	-1
37	中级-困难-武林宝藏	55	-1	360	6297	8046	-1	-1
38	中级-挑战-武林宝藏	80	-1	360	6297	8047	-1	-1
39	高级-简单-武林宝藏	30	-1	360	6297	8045	-1	-1
40	高级-困难-武林宝藏	55	-1	360	6297	8046	-1	-1
41	高级-挑战-武林宝藏	80	-1	360	6297	8047	-1	-1
42	无神绝宫单人磨练规则	100	1	2100	6297	8041	-1	-1
43	无神绝宫组队磨练规则	100	1	2100	6297	8038	-1	-1
44	剑池单人磨练规则	100	2	600	6297	8042	-1	-1
45	剑池组队磨练规则	100	2	600	6297	8043	-1	-1
46	剑宗轮回	100	2	360	6297	8047	-1	-1
47	侠王府单人磨难规则	100	2	900	6297	8041	-1	-1
48	侠王府组队磨难规则	100	2	900	6297	8040	-1	-1
49	凌云窟-磨难	100	2	900	6297	8038	-1	-1
50	连城寨单人磨难规则	100	2	900	6297	8039	-1	-1
51	连城寨组队磨难规则	100	2	900	6297	8040	-1	-1
