ImpactID	Desc	Name	IsForever	LifeType	MaxOverlayCount	IsNeedNoticeClient	BuffIcon	BuffType	DebuffPRI	LogicID	DelayTime	EffectId	PlayTime	IsRemoveEffectFadeOut	FadeOutRule	MutexcollectionId	Mutexpriority	ParamValue_01	ParamValue_02	ParamValue_03	ParamValue_04	ParamValue_05	ParamValue_06	ParamValue_07	ParamValue_08	ParamValue_09	ParamValue_10	ParamValue_11	ParamValue_12	ParamValue_13	ParamValue_14	ParamValue_15
INT	STRING	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=999999;MAX_RECORD=30000;TableType=Hash;																																
#程序不读 ID	描述	名称	是否是永久BUFF	"0:时间控制类型,1:伤害累计量控制类型"	最大叠加数（-1表示不叠加）	客户端是否关心有没有这个BUFF（需要在人物头像下面显示的增益BUFF 隐身BUFF 不能移动的减益BUFF 配成1）	BUFF图标（用于在人物头像下显示只显示非减益 IsNeedNoticeClient配成1才行 无则填-1）	Buff类型（0减益 1增益）	"减益buff优先级（只针对减益buff使用,如果要针对增益使用,请联系程序）（该数值目前仅针对debuff驱散功能使用）"	逻辑	延迟生效时间(单位毫秒)	Buff特效Id	特效播放的时间点（0 buff激活 1buff生效）	BUFF消失时是否移除对应的特效	BUFF消散规则（-1自然消散不做特殊检测 ）（1离开场景消散 2死亡消散 4发送者离开消散 (符合两种及以上 累加) 8登陆消散）	互斥集合ID	互斥优先级（从0开始 数值越大 优先级越高 同一优先级的互相顶替）	参数1数值	参数2数值	参数3数值	参数4数值	参数5数值	参数6数值	参数7数值	参数8数值	参数9数值	参数10数值	参数11数值	参数12数值	参数13数值	参数14数值	参数15数值
#		S	S	S	S	S	C	C	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S
0	【以下职业技能号段勿动】	【以下职业技能号段勿动】	0	0	-1	0	-1	0	-1	26	0	-1	-1	1	-1	100	1	19	350	0	1	1	300	300	-1	-1	-1	-1	-1	-1	-1	-1
1	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	0	-1	10	0	-1	-1	1	-1	-1	-1	1500	502000	167	502000	600	502000	1033	18	1033	4	-1	0	-1	0	-1
500001	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502001	167	502001	600	502001	1033	18	1033	4	-1	0	-1	0	-1
500002	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502002	167	502002	600	502002	1033	18	1033	4	-1	0	-1	0	-1
500003	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502003	167	502003	600	502003	1033	18	1033	4	-1	0	-1	0	-1
500004	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502004	167	502004	600	502004	1033	18	1033	4	-1	0	-1	0	-1
500005	对同一目标派发伤害子BUFF	飞云普攻	0	0	-1	0	-1	1	-1	10	0	-1	-1	1	-1	-1	-1	1500	502005	167	502005	600	502005	1033	18	1033	4	-1	0	-1	0	-1
