Id	Desc	ProfessionId	Level	MaxHp	MaxMP	MaxXP	PAttack	MAttack	PDefense	Mdefense	Hit	Dodge	Critical	DeCritical	Strike	Ductical	CritiAdd	CritiMis	AttackSpeed	MoveSpeed
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=1000;MAX_RECORD=1000;TableType=Index;																				
#ID	描述（程序不读）	职业ID（0 战士 1盗贼 2猎人 3法师 ）	等级	血上限	蓝上限	战意上限	物理攻击	法术攻击	物理防御	法术防御	命中	闪避	暴击	暴抗	穿透	韧性	暴击伤害加成	暴击伤害减免	攻击速度	移动速度
#此行必须有!!客户端确定是否需要读到内存	规则为填写S则不读，否则就会读取到客户端																			
1	飞云1	0	1	330	90	100	40	0	34	30	20	10	20	25	110	110	110	110	10	500
2	飞云2	0	2	364	99	100	44	0	37	33	22	11	22	28	120	120	120	120	10	500
3	飞云3	0	3	398	108	100	48	0	41	36	24	12	24	30	130	130	130	130	10	500
4	飞云4	0	4	433	117	100	52	0	44	39	26	13	26	33	140	140	140	140	10	500
5	飞云5	0	5	468	126	100	56	0	48	43	28	14	28	35	150	150	150	150	10	500
6	飞云6	0	6	503	135	100	60	0	51	46	30	15	30	38	160	160	160	160	10	500
7	飞云7	0	7	538	144	100	64	0	55	49	32	16	32	41	170	170	170	170	10	500
8	飞云8	0	8	573	153	100	68	0	58	52	34	17	34	43	180	180	180	180	10	500
9	飞云9	0	9	608	162	100	72	0	62	55	36	18	36	46	190	190	190	190	10	500
