SkillId	Desc	SeleTargetLogic	ActivateLogic	ActivateParam1	ActivateParam2
INT	STRING	INT	INT	INT	INT
#MAX_ID=99999;MAX_RECORD=500;TableType=Hash;					
#程序不读 技能ID	技能描述（程序不读）	技能选择目标的逻辑（ 0近战反击目标选择 1最近距离）	技能激活逻辑（0攻击频率限制 1自己血少于某个百分比 2目标血少于某个百分比 3自己有特定BUFF 4目标有特定BUFF 5战斗时间达到某个值（毫秒） 6副本判定 7无限制）  	激活参数1	激活参数2
#此行必须有!!客户端确定是否需要读到内存	规则为填写S则不读，否则就会读取到客户端				
70301	近战普攻	0	0	-1	-1
70302	远程普攻	0	0	-1	-1
70001	世界BOSS技能1-生死符	0	0	-1	-1
70002	世界BOSS技能2-八荒六合唯我独尊	2	0	-1	-1
70004	聂风-普通攻击	0	0	-1	-1
70005	聂风-风神腿	0	5	4000	-1
70006	聂风-傲寒十诀	0	5	1000	-1
70007	神风动	0	5	500	-1
70008	剑廿三	0	5	200	-1
70009	狐王召唤	0	0	-1	-1
70010	举火烧天	0	5	5000	-1
70011	力劈华山	0	5	2000	-1
70012	独孤残雪技能	0	5	3000	-1
70013	天下会教头技能	0	5	3000	-1
70014	追踪者头目	0	5	3000	-1
70015	龙袖	0	5	3000	-1
70016	野外boss技能	0	0	-1	-1
70017	剑廿二	0	5	3000	-1
70018	野外boss技能2	0	5	10000	-1
70110	绝心-赤火神功	0	0	-1	-1
70111	绝心-紫电天罗	2	0	-1	-1
70112	宫本猛-半月刀法	2	0	-1	-1
70113	绝无神-不灭金身(简单)	0	1	50	-1
70114	绝无神-不灭金身(困难)	0	1	50	-1
70115	绝无神-不灭金身(挑战)	0	1	50	-1
70116	绝无神-杀心	0	5	10000	-1
70117	绝无神-杀神	0	5	10000	-1
70118	绝无神-杀绝	0	5	10000	-1
70201	天下第一楼BOSS-泰山压顶	0	5	5000	-1
70303	关七之幻-幻武	0	0	-1	-1
70304	关七之幻-幻武	0	5	10000	-1
70305	关七之幻-幻武	0	5	20000	-1
70306	关七之影-影武	0	5	5000	-1
70307	关七之影-影武	0	5	15000	-1
70308	关七之影-影武	0	5	25000	-1
70309	关七-练斩纵河	0	0	-1	-1
70310	关七-怒斩千关	0	5	5000	-1
70311	冷不防-心魔无形	0	5	10000	-1
70312	冷不防-噬心魔甲	0	0	-1	-1
70313	释武尊-佛抱怀容	0	5	5000	-1
70314	释武尊-迎佛西天	0	5	8000	-1
70315	雪暗天-骷髅幻影	0	5	10000	-1
70316	雪暗天-锋边竹笠	0	5	5000	-1
70317	骷髅铁杖-骷髅显圣	0	0	-1	-1
70318	弓手普攻	0	0	-1	-1
70400	侠王府小怪-属下-回血	0	0	-1	-1
70401	侠王府BOSS1-武师-铜墙铁壁	0	0	-1	-1
70402	侠王府BOSS2-吕廉-猛虎下山	0	0	-1	-1
70403	侠王府BOSS3-吕义1-侠王剑法	2	0	-1	-1
70405	侠王府BOSS4-侠王真身1-守卫召唤	0	6	-1	-1
70406	侠王府BOSS4-侠王真身2-阴寒补气	0	6	-1	-1
70407	侠王府BOSS4-侠王真身2-侠王普攻	0	6	-1	-1
70501	温弩-巨魄擎天	0	5	3000	-1
70502	冷胭-两仪生风	2	5	3000	-1
70503	钟眉-摄剑法	2	5	3000	-1
70504	剑贫-飞仙境界	0	5	10000	-1
70505	断浪-火麟蚀日	0	5	3000	-1
70506	绝世好剑-嘲讽	0	0	-1	-1
70601	剑轮回-冰冻-降低移动速度	0	0	-1	-1
70602	剑轮回-火焚-持续掉血	0	0	-1	-1
70603	剑轮回-水逝-持续掉蓝	0	0	-1	-1
70604	剑轮回-地缚-降低攻击力	0	0	-1	-1
70605	剑轮回-万剑归宗	0	0	-1	-1
70701	麒麟魔-重砍	2	0	-1	-1
70702	麒麟魔-狂怒	0	1	50	-1
70703	火麒麟-撞击	2	0	-1	-1
70704	火麒麟-火焰陷阱	2	0	-1	-1
70705	龙龟-水泡	2	0	-1	-1
70706	龙龟-龟缩	0	0	-1	-1
70707	凤凰-普攻	0	0	-1	-1
70708	凤凰-灼伤	3	0	-1	-1
70709	凤凰-凤凰展翅	2	0	-1	-1
70710	惊瑞-冲锋	2	0	-1	-1
70711	惊瑞-吐息	2	0	-1	-1
70712	惊瑞-惊瑞之怒	2	0	-1	-1
70713	惊瑞-普攻	0	0	-1	-1
70801	孤注一掷	0	1	75	-1
70802	此恨绵绵	0	1	15	-1
70803	三步倒	0	0	-1	-1
70804	万法皆空	0	5	5000	-1
70805	以毒攻毒	0	5	3000	-1
70806	剑意	0	5	2000	-1
70807	归墟	0	5	2500	-1
90000	火麒麟普攻	0	0	-1	-1
90001	雄霸-三分天下	0	5	10000	-1
90002	雄霸-断玉分金	0	5	5000	-1
90003	雄霸-归元一击	0	0	-1	-1
90111	城战-雄霸-泰山压顶	0	0	-1	-1
90112	城战-剑圣-剑廿三	0	0	-1	-1
90113	城战-文丑丑-铜墙铁壁	0	0	-1	-1
90114	城战-楚楚-蚀日剑法	0	0	-1	-1
