Id	Desc	DefaultSkillId	SkillId1	SkillId2	SkillId3	SkillId4	SkillId5	SkillId6	SkillId7
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=1000;MAX_RECORD=1000;TableType=Index;									
#程序不读 Id	策略描述（程序不读）	默认技能Id	可选技能1ID	可选技能2ID	可选技能3ID	可选技能4ID	可选技能5ID	可选技能6ID	可选技能7ID
#此行必须有!!客户端确定是否需要读到内存	规则为填写S则不读，否则就会读取到客户端								
0	近战怪技能策略	70301	-1	-1	-1	-1	-1	-1	-1
1	温弩-巨魄擎天	70301	70501	-1	-1	-1	-1	-1	-1
2	冷胭-两仪生风	70301	70502	-1	-1	-1	-1	-1	-1
3	钟眉-摄剑法	70302	70503	-1	-1	-1	-1	-1	-1
4	剑贫-飞仙境界	70302	70504	-1	-1	-1	-1	-1	-1
5	断浪-火麟蚀日	70301	70505	-1	-1	-1	-1	-1	-1
6	剑轮回-冰冻-降低移动速度	70301	70601	-1	-1	-1	-1	-1	-1
7	剑轮回-火焚-持续掉血	70301	70602	-1	-1	-1	-1	-1	-1
8	剑轮回-水逝-持续掉蓝	70301	70603	-1	-1	-1	-1	-1	-1
9	剑轮回-地缚-降低攻击力	70301	70604	-1	-1	-1	-1	-1	-1
10	关七之幻	70301	70303	70304	70305	-1	-1	-1	-1
11	关七之影	70301	70306	70307	70308	-1	-1	-1	-1
12	关七	70301	70309	70310	-1	-1	-1	-1	-1
13	冷不防	70302	70311	-1	-1	-1	-1	-1	-1
14	释武尊	70301	70313	70314	-1	-1	-1	-1	-1
15	雪暗天	70302	70315	70316	-1	-1	-1	-1	-1
