Id	Desc	Mark	Posx	Posz	NextIndex	Action	P1	P2	P3
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=1024;MAX_RECORD=1025;TableType=Hash;									
#序号	坐标点说明	类别	X坐标	Z坐标	下一个序号（0代表终止，-1代表删除）	到达动作：1停顿P1秒；2播放P1特效	参数1	参数2	参数3
#此行必须有!!客户端确定是否需要读到内存	规则为填写S则不读，否则就会读取到客户端								
1	花车巡游	1	64	110	2	1	7	0	0
2	花车巡游	1	64	107	3	1	7	0	0
3	花车巡游	1	64	104	4	1	7	0	0
4	花车巡游	1	64	101	5	1	7	0	0
5	花车巡游	1	64	98	6	2	167003	0	0
6	花车巡游	1	64	95	7	0	0	0	0
7	花车巡游	1	64	92	8	2	167003	0	0
8	花车巡游	1	64	89	9	0	0	0	0
9	花车巡游	1	64	86	10	2	167003	0	0
10	花车巡游	1	64	83	11	1	5	0	0
11	花车巡游	1	64	80	12	2	167003	0	0
12	花车巡游	1	64	77	13	0	0	0	0
13	花车巡游	1	64	74	14	2	167003	0	0
14	花车巡游	1	64	71	15	0	0	0	0
15	花车巡游	1	64	68	16	2	167003	0	0
16	花车巡游	1	64	65	17	1	5	0	0
17	花车巡游	1	64	62	18	2	167003	0	0
18	花车巡游	1	64	59	19	0	0	0	0
19	花车巡游	1	64	56	20	2	167003	0	0
20	花车巡游	1	64	53	21	0	0	0	0
21	花车巡游	1	64	50	22	2	167003	0	0
22	花车巡游	1	64	47	23	1	5	0	0
23	花车巡游	1	64	44	24	2	167003	0	0
24	花车巡游	1	64	41	25	0	0	0	0
25	花车巡游	1	64	38	26	2	167003	0	0
26	花车巡游	1	64	35	27	0	0	0	0
27	花车巡游	1	64	32	28	2	167003	0	0
28	花车巡游	1	64	29	29	0	0	0	0
29	花车巡游	1	64	26	30	2	167003	0	0
30	花车巡游	1	64	23	-1	1	5	0	0
31	花车巡游	2	64	110	32	2	167003	0	0
32	花车巡游	2	64	107	33	1	3	0	0
33	花车巡游	2	64	104	34	2	167003	0	0
34	花车巡游	2	64	101	35	1	3	0	0
35	花车巡游	2	64	98	36	2	167003	0	0
36	花车巡游	2	64	95	37	1	3	0	0
37	花车巡游	2	64	92	38	2	167003	0	0
38	花车巡游	2	64	89	39	1	3	0	0
39	花车巡游	2	64	86	40	2	167003	0	0
40	花车巡游	2	64	83	41	1	3	0	0
41	花车巡游	2	64	80	42	2	167003	0	0
42	花车巡游	2	64	77	43	1	3	0	0
43	花车巡游	2	64	74	44	2	167003	0	0
44	花车巡游	2	64	71	45	1	3	0	0
