Id	Desc	SceneID	DataID	PosX	PosZ	FaceDirection	GroupID	MutexID
INT	STRING	INT	INT	FLOAT	FLOAT	FLOAT	INT	INT
#MAX_ID=4999;MAX_RECORD=5000;TableType=Hash;								
#唯一标示	描述，策划维护，此列程序不读	所属场景	DataID	位置X	位置Z	Npc朝向(弧度数值)	GroupID	MutexID
#此行必须有!!客户端确定是否需要读到内存	规则为填写S则不读，否则就会读取到客户端							
0	无名	3	491	51.25	20.77	0.06	-1	-1
1	剑晨	3	492	15.26	41.17	0.8	-1	-1
2	霍步天	3	493	14.38	86.54	-1.57	-1	-1
3	霍惊觉	3	494	24.36	14.76	-2.38	-1	-1
4	金掌柜	3	495	86	19	-2.81	-1	-1
5	天下会喽啰	3	497	10.89	73.9	0	-1	-1
6	天下会喽啰	3	497	14.38	74.11	0	-1	-1
7	天下会喽啰	3	497	18.55	74.42	0	-1	-1
8	天下会喽啰	3	497	10.67	64.47	0	-1	-1
9	天下会喽啰	3	497	14.24	70.6	0	-1	-1
10	天下会喽啰	3	497	5.72	63.22	0	-1	-1
11	天下会喽啰	3	497	10.87	68.67	0	-1	-1
12	天下会喽啰	3	497	18.38	60.95	0	-1	-1
13	天下会喽啰	3	497	16.93	64.56	0	-1	-1
14	天下会喽啰	3	497	13.46	60.93	0	-1	-1
15	天下会喽啰	3	497	18.45	78.15	0	-1	-1
16	天下会喽啰	3	497	7.89	74.9	0	-1	-1
17	山贼	3	498	66.23	46.27	0	-1	-1
18	山贼	3	498	64.96	44.31	0	-1	-1
19	山贼	3	498	73.8	46.82	0	-1	-1
20	山贼	3	498	67.51	43.7	0	-1	-1
21	山贼	3	498	68.86	46.31	0	-1	-1
22	山贼	3	498	76.72	45.69	0	-1	-1
23	山贼	3	498	76.35	47.79	0	-1	-1
24	山贼	3	498	74.76	48.98	0	-1	-1
25	山贼	3	498	80.48	48.07	0	-1	-1
26	山贼	3	498	82.64	46.45	0	-1	-1
27	山贼	3	498	83.43	48.84	0	-1	-1
28	山贼	3	498	82.1	50.26	0	-1	-1
29	白狐	3	499	14.84	7.7	0	-1	-1
30	白狐	3	499	10.89	17.33	0	-1	-1
31	白狐	3	499	11.95	13.43	0	-1	-1
32	白狐	3	499	12.55	16.02	0	-1	-1
33	白狐	3	499	17.28	6.45	0	-1	-1
34	白狐	3	499	17.79	16.02	0	-1	-1
35	白狐	3	499	17.79	19.79	0	-1	-1
36	白狐	3	499	10.93	15.01	0	-1	-1
37	白狐	3	499	17.58	17.92	0	-1	-1
38	白狐	3	499	19.12	18.9	0	-1	-1
39	白狐	3	499	19.59	16.8	0	-1	-1
40	白狐	3	499	12.83	11.62	0	-1	-1
